Cuối thế kỷ XIX vai trò của hệ tư tưởng phong kiến ở Việt Nam trước các nhiệm vụ lịch sử: | Đã lỗi thời.
Từ rất sớm, Hồ Chí Minh đã nhận thức sự biến chuyển của thời đại, đặc điểm thời đại. Người đặt cách mạng giải phóng dân tộc thuộc địa vào phạm trù cách mạng: | Vô sản.
Hồ Chí Minh khẳng định rằng trong thời đại đế quốc chủ nghĩa ở một nước thuộc địa nhỏ, với sự lãnh đạo của giai cấp vô sản và chính Đảng của nó, dựa vào quần chúng nhân dân rộng rãi, trước hết là ai? ... thì nhân dân nước đó nhất định thắng lợi? | Nông dân.
Hồ Chí Minh nói, lúc đầu yếu tố nào (?) đã đưa Người tin theo Lênin, tin theo Quốc tế thứ ba? | Chính chủ nghĩa yêu nước.
Bác nói, Tôi ủng hộ Cách mạng Tháng Mười là theo cảm tính tự nhiên... tôi kính yêu Lênin vì Lênin là một người thế nào? | Yêu nước vĩ đại.
Bác nói, Tôi ủng hộ Cách mạng Tháng Mười là theo cảm tính tự nhiên... tôi kính yêu Lênin vì Lênin là một người thế nào? | Đã giải phóng đồng bào mình.
Hồ Chí Minh khẳng định, bây giờ học thuyết nhiều, chủ nghĩa nhiều, nhưng chủ nghĩa chân chính nhất, chắc chắn nhất, cách mệnh nhất là: | Chủ nghĩa Lênin.
Nguyễn Ái Quốc từ chối không theo phong trào Đông Du vì sao? | Cảm thấy không thể dựa vào nước ngoài để cứu nước.
Nguyễn Ái Quốc từ chối không theo phong trào Đông Du vì sao? | Không phải vì đã hiểu bản chất của đế quốc Nhật.
Cuối thế kỷ XIX tầng lớp tiểu tư sản và tư sản Việt Nam: | Bắt đầu xuất hiện.
Cuối thế kỷ XIX, đầu thế kỷ XX phong trào yêu nước của nhân dân ta chuyển dần sang: | Hướng dân chủ tư sản.
Cách mạng ở thuộc địa trước hết là Dân tộc cách mệnh đánh đuổi ngoại xâm, giành độc lập, tự do được Nguyễn Aí Quốc đưa ra vào giai đoạn nào? | Từ 1921 đến 1930.
Trong tư tưởng Hồ Chí Minh, ở thuộc địa, vấn đề đấu tranh chống chủ nghĩa thực dân,... giành độc lập dân tộc,... thành lập nhà nước dân tộc độc lập là: | Thực chất của vấn đề dân tộc.
Theo Hồ Chí Minh, sự đối kháng giữa các dân tộc bị áp bức với chủ nghĩa đế quốc thực dân ở thuộc địa là mâu thuẫn: | Chủ yếu.
Mác bàn nhiều về cuộc đấu tranh chống chủ nghĩa tư bản, Hồ Chí Minh tập trung về cuộc đấu tranh chống chủ nghĩa: | Thực dân.
Theo Hồ Chí Minh, để giải phóng dân tộc thì lựa chọn con đường phát triển với các dân tộc ở thuộc địa là: | Việc trước tiên.
Ở Việt Nam phải làm tư sản dân quyền cách mạng và thổ địa cách mạng để đi tới xã hội cộng sản, thực chất đó chính là con đường độc lập dân tộc: | Gắn với chủ nghĩa xã hội.
Cách tiếp cận độc lập dân tộc của Hồ Chí Minh là từ: | Quyền con người.
Nội dung cốt lõi của vấn đề dân tộc thuộc địa theo Hồ Chí Minh là: | Độc lập dân tộc.
Đảng nêu cao vấn đề giải phóng dân tộc và Hồ Chí Minh viết thư cho nhân dân khẳng định Trong lúc này quyền lợi dân tộc giải phóng cao hơn hết thảy là vào: | Tháng 5-1941.
Không! chúng ta thà hy sinh tất cả, chứ nhất định không chịu mất nước, nhất đinh không chịu làm nô lệ được Hồ Chí Minh khẳng định khi nào? | Tháng 12-1946.
Hồ Chí Minh rất coi trọng vấn đề dân tộc, đề cao sức mạnh của chủ nghĩa yêu nước, nhưng Người đứng trên quan điểm nào (?) để nhận thức và giải quyết vấn đề dân tộc. | Giai cấp.
Đầu thế kỷ XX, Hồ Chí Minh nhận định, với những chính sách tàn bạo, sự áp bức, bóc lột của ai (?) càng nặng nề, thì phản ứng của dân tộc bị áp bức càng quyết liệt? | Chủ nghĩa đế quốc.
Hồ Chí Minh thấy rõ sức mạnh của chủ nghĩa dân tộc của các dân tộc thuộc địa với tư cách là như thế nào (?) thì sẽ là sức mạnh chiến đấu và thắng lợi trước mọi thế lực ngoại xâm? | Chủ nghĩa yêu nước chân chính.
Theo tư tưởng Hồ Chí Minh yếu tố nào (?) là một bộ phận của tinh thần quốc tế? | Chủ nghĩa yêu nước chân chính.
Trong tư tưởng Hồ Chí Minh, mối quan hệ giữa vấn đề dân tộc và vấn đề giai cấp thì giải phóng dân tộc là vấn đề thế nào? | Trên hết, trước hết.
Tư tưởng Hồ Chí Minh về quan hệ vấn đề dân tộc và vấn đề giai cấp vừa phản ánh mối quan hệ giữa mục tiêu giải phóng dân tộc với giải phóng giai cấp và: | Giải phóng con người.
Trong quan hệ vấn đề dân tộc và vấn đề giai cấp, Hồ Chí Minh cho rằng, phải giữ vững độc lập của dân tộc mình đồng thời tôn trọng: | Độc lập của dân tộc khác.
Theo Hồ Chí Minh, nếu như mâu thuẫn chủ yếu ở các nước tư bản chủ nghĩa phương Tây là giữa giai cấp vô sản và tư sản, thì trong xã hội thuộc địa phương Đông là mâu thuẫn giữa dân tộc bị áp bức với: | Chủ nghĩa thực dân.
Theo Hồ Chí Minh, yêu cầu bức thiết của nhân dân các nước thuộc địa là: | Độc lập dân tộc.
Trong tư tưởng Hồ Chí Minh, ở các nước thuộc địa, nông dân là lực lượng đông đảo nhất. Nông dân luôn đặt yêu cầu độc lập dân tộc so với yêu cầu về ruộng đất là: | Cao hơn.
Hồ Chí Minh nêu cao chân lý lớn nhất của thời đại: không có gì quý hơn độc lập, tự do khi nào? | Khi đế quốc Mỹ mở rộng chiến tranh ở hai miền.
Hồ Chí Minh rất coi trọng vấn đề dân tộc, đề cao sức mạnh của chủ nghĩa yêu nước. Sự kết hợp nhuần nhuyễn vấn đề giai cấp và vấn đề dân tộc của Hồ Chí Minh thể hiện ở 5 nội dung mà một trong số đó là: | Dùng bạo lực của quần chúng để chống lại bạo lực phản cách mạng.
Cương lĩnh chính trị đầu tiên của Đảng do Nguyễn Ái Quốc soạn thảo, xác định những nhiệm vụ về chính trị, kinh tế, văn hóa - xã hội, nhưng nổi lên hàng đầu là: | nhiệm vụ chống đế quốc.
Nguyễn Ái Quốc chủ trì Hội nghị Trung ương lần thứ tám (tháng 5-1941) đã chỉ ra, cuộc cách mạng Đông Dương hiện tại không phải là một cuộc cách mạng gì (?), | Tư sản dân quyền.
Hội nghị Trung ương 8 (5-1941) đã giương cao ngọn cờ gì (?) nhấn mạnh đó là nhiệm vụ bức thiết nhất? | Giải phóng dân tộc.
Nguyễn Ái Quốc chủ trì Hội nghị Trung ương lần thứ tám (tháng 5-1941) đã chỉ ra, cuộc cách mạng Đông Dương hiện tại không phải giải quyết hai vấn đề cùng lúc: | Điền địa.
Nguyễn Ái Quốc chủ trì Hội nghị Trung ương lần thứ tám (tháng 5-1941) đã chỉ ra, cuộc cách mạng Đông Dương hiện tại không phải giải quyết hai vấn đề cùng lúc: | Phản đế.
Nguyễn Ái Quốc trong Hội nghị Trung ương lần thứ tám (tháng 5-1941) đã xác định, cuộc cách mạng ở đâu (?) hiện tại phải là cuộc cách mạng chỉ phải giải quyết một vấn đề cần kíp là gì? | Chống chủ nghĩa phát xít.
Nguyễn Ái Quốc trong Hội nghị Trung ương lần thứ tám (tháng 5-1941) đã xác định, cuộc cách mạng ở đâu (?) hiện tại phải là cuộc cách mạng chỉ phải giải quyết một vấn đề cần kíp là gì? | Dân tộc giải phóng.
Nguyễn Ái Quốc khẳng định, muốn cứu nước và giải phóng dân tộc không có con đường nào khác ngoài con đường gì? | Cách mạng vô sản.
Nguyễn Ái Quốc phân tích, Phàm làm việc gì cũng vậy, bất kỳ lớn bé, bất kỳ khó dễ, nếu không ra sức thì chắc không thành công...Muốn làm cách mạng thì phải thế nào? | Đồng lòng và quyết tâm.
Nguyễn Ái Quốc phân tích, Phàm làm việc gì cũng vậy, bất kỳ lớn bé, bất kỳ khó dễ, nếu không ra sức thì chắc không thành công...Muốn làm cách mạng thì phải thế nào? | Phải biết cách làm.
Nguyễn Ái Quốc phân tích, Phàm làm việc gì cũng vậy, bất kỳ lớn bé, bất kỳ khó dễ, nếu không ra sức thì chắc không thành công...Muốn làm cách mạng thì phải thế nào? | Bền gan, đồng chí.
 Muốn làm cách mệnh, theo Hồ Chí Minh, trước phải làm cho dân giác ngộ, phải giảng dạy cái gì cho dân hiểu? | Lý luận.
 Muốn làm cách mệnh, theo Hồ Chí Minh, trước phải làm cho dân giác ngộ, phải giảng dạy cái gì cho dân hiểu? | Chủ nghĩa.
Theo Hồ Chí Minh, Đảng Cộng sản Việt Nam một chính Đảng của ai? | Giai cấp công nhân.
Theo Hồ Chí Minh, Đảng Cộng sản Việt Nam một chính Đảng của ai? | Dân tộc Việt Nam.
Theo Hồ Chí Minh, Đảng Cộng sản Việt Nam một chính Đảng của ai? | Nhân dân lao động.
Theo Hồ Chí Minh, khi chủ nghĩa tư bản chuyển sang giai đoạn độc quyền, thì vấn đề gì (?) là yêu cầu bức thiết. Đó là nguyên nhân thế nào (?) dẫn tới những cuộc chiến tranh xâm lược thuộc địa | Sâu xa.
Theo Hồ Chí Minh, khi chủ nghĩa tư bản chuyển sang giai đoạn độc quyền, thì vấn đề gì (?) là yêu cầu bức thiết. Đó là nguyên nhân thế nào (?) dẫn tới những cuộc chiến tranh xâm lược thuộc địa | Thị trường.
Theo Hồ Chí Minh, hình thức bạo lực cách mạng bao gồm cả đấu tranh chính trị và đấu tranh vũ trang. Trong Cách mạng Tháng Tám, bạo lực cách mạng thể hiện bằng: | Lực lượng chính trị là chủ yếu.
Theo Hồ Chí Minh, hình thức bạo lực cách mạng bao gồm cả đấu tranh chính trị và đấu tranh vũ trang. Trong Cách mạng Tháng Tám, bạo lực cách mạng thể hiện bằng: | Khởi nghĩa vũ trang.
C.Mác là V.I.Lênin bàn nhiều về đấu tranh giai cấp ở các nước tư bản chủ nghĩa, Hồ Chí Minh bàn về đấu tranh giải phóng: | Dân tộc thuộc địa.
Theo Hồ Chí Minh, vấn đề cốt lõi, là mục tiêu xuyên suốt chỉ đạo và hoạt động thực tiễn cách mạng Việt Nam là: | Độc lập, tự do dân tộc.
Sự kết hợp nhuần nhuyễn vấn đề giai cấp và vấn đề dân tộc của Hồ Chí Minh thể hiện, người khẳng định vai trò lịch sử của giai cấp công nhân và quyền lãnh đạo: | Duy nhất của Đảng Cộng sản.
Theo quan điểm của Hồ Chí Minh thì bước phát triển tất yếu ở Việt Nam sau khi đã giành được độc lập theo con đường cách mạng vô sản là: | Tiến lên chủ nghĩa xã hội.
Hồ Chí Minh đã khẳng định: Chỉ có chủ nghĩa cộng sản mới cứu nhân loại... vào năm nào của thế kỷ XIX? | 1920.
Hồ Chí Minh tiếp thu lý luận về chủ nghĩa xã hội khoa học của lý luận Mác - Lênin trước hết từ: | Khát vọng giải phóng dân tộc.
Hồ Chí Minh tìm thấy sự thống nhất biện chứng của giải phóng dân tộc với giải phóng xã hội và: | Giải phóng con người.
Hồ Chí Minh giải quyết quan hệ cá nhân với xã hội theo quan điểm: sự phát triển tự do của mỗi người là điều kiện cho sự phát triển tự do của tất cả mọi người là tiếp cận chủ nghĩa xã hội từ: | Phương diện đạo đức.
Trong cách tiếp cận về chủ nghĩa xã hội, bao trùm lên tất cả là Hồ Chí Minh tiếp cận chủ nghĩa xã hội từ: | Văn hoá.
Theo Hồ Chí Minh, xây dựng chủ nghĩa xã hội cũng là quá trình kết tinh, kế thừa phát triển những giá trị gì của dân tộc Việt Nam? | Văn hóa.
Theo Hồ Chí Minh, độc lập dân tộc và chủ nghĩa xã hội gắn liền với nhau là yếu tố gì (?) của dân tộc Việt Nam mà nhân dân ta đã tuân theo? | Quy luật phát triển.
Thực tiễn cho chúng ta thấy, độc lập dân tộc là điều kiện gì để thực hiện chủ nghĩa xã hội? | Tiên quyết.
Theo Hồ Chí Minh, xây dựng chủ nghĩa xã hội thành công là thế nào (?) với việc đảm bảo vững chắc, độc lập dân tộc? | Điều kiện.
Hồ Chí Minh có quan niệm tổng quát, xem xét chủ nghĩa xã hội, chủ nghĩa cộng sản như là một chế độ xã hội hoàn chỉnh, trong đó con người được: | Phát triển toàn diện.
Hồ Chí Minh cho rằng mọi thiết chế, cơ cấu xã hội trong chủ nghĩa xã hội, chủ nghĩa cộng sản đều nhằm tới mục tiêu giải phóng: | Con người.
Trong quan niệm chủ nghĩa xã hội, Hồ Chí Minh viết: chủ nghĩa xã hội là lấy nhà máy, xe lửa, ngân hàng ...v.v... làm: | Của chung.
Trong quan niệm chủ nghĩa xã hội, khi đề cập về kinh tế, Hồ Chí Minh thường nhấn mạnh yếu tố: | Chế độ sở hữu.
Trong quan niệm chủ nghĩa xã hội, khi đề cập về lĩnh vực chính trị, Người thường nhấn mạnh: | Chế độ dân chủ.
Làm sao cho nước ta được hoàn toàn độc lập, dân ta được hoàn toàn tự do, đồng bào ta ai cũng có cơm ăn áo mặc, ai cũng được học hành là quan niệm của Hồ Chí Minh về chủ nghĩa xã hội bằng cách nhấn mạnh đặc trưng gì của chủ nghĩa xã hội cho nhân? | Vì lợi ích.
Theo Hồ Chí Minh, động lực xây dựng chủ nghĩa xã hội ở Việt Nam, sức mạnh tổng hợp được sử dụng và phát huy đó là sức mạnh toàn dân tộc kết hợp với: | Sức mạnh thời đại.
Theo Hồ Chí Minh, chủ nghĩa xã hội có chế độ chính trị dân chủ, nhân dân lao động là chủ, dựa trên khối đại đoàn kết toàn dân mà nòng cốt là liên minh: | Công-nông-trí thức.
Theo Hồ Chí Minh, chủ nghĩa xã hội là một xã hội có nền kinh tế phát triển dựa trên cơ sở năng suất: | Lao động xã hội cao.
Hồ Chí Minh đã xác định các mục tiêu cụ thể của chủ nghĩa xã hội trong đó có một nền kinh tế xã hội chủ nghĩa với công nghiệp và nông nghiệp hiện đại, khoa học và kỹ thuật tiên tiến: Select one or more: | Cách bóc lột theo chủ nghĩa tư bản được xóa bỏ dần.
Hồ Chí Minh đã xác định về bản chất của nền văn hoá, phải xã hội chủ nghĩa về nội dung. Để có một nền văn hoá như thế ta phải: | Học tập văn hoá tiên tiến của thế giới.
Hồ Chí Minh đã xác định về bản chất của nền văn hoá, phải xã hội chủ nghĩa về nội dung. Để có một nền văn hoá như thế ta phải: | phát huy vốn cũ qúy báu của dân tộc.
Hồ Chí Minh đã xác định, phương châm xây dựng nền văn hoá mới. Văn hóa phải đáp ứng được mặt giải trí: | Phải gắn liền với lao động sản xuất.
Hồ Chí Minh đã xác định, phương châm xây dựng nền văn hoá mới. Văn hóa phải đáp ứng được mặt giải trí: | Nâng cao tri thức của quần chúng.
Theo Hồ Chí Minh, mâu thuẫn cơ bản của thời kỳ quá độ lên chủ nghĩa xã hội ở Việt Nam là mâu thuẫn giữa hai yếu tố nào? | Thực trạng kinh tế - xã hội quá thấp kém của nước ta.
Theo Hồ Chí Minh, mâu thuẫn cơ bản của thời kỳ quá độ lên chủ nghĩa xã hội ở Việt Nam là mâu thuẫn giữa hai yếu tố nào? | Nhu cầu phát triển cao của đất nước theo xu hướng tiến bộ.
Theo Hồ Chí Minh, đặc điểm lớn nhất của ta khi bước vào thời kỳ quá độ là từ một nước thế nào (?) tiến lên chủ nghĩa xã hội thế nào? | Nông nghiệp lạc hậu.
Theo Hồ Chí Minh, đặc điểm lớn nhất của ta khi bước vào thời kỳ quá độ là từ một nước thế nào (?) tiến lên chủ nghĩa xã hội thế nào? | Không phải kinh qua giai đoạn phát triển tư bản chủ nghĩa.
Nội dung xây dựng chủ nghĩa xã hội ở Việt Nam là toàn diện với ba nhiệm vụ cụ thể thể hiện trong các lĩnh vực. Trong lĩnh vực chính trị, nội dung quan trọng nhất là phải giữ vững và phát huy: | Vai trò lãnh đạo của Đảng.
Ở nước ta, ai là người đầu tiên chủ trương phát triển cơ cấu kinh tế nhiều thành phần? | Hồ Chí Minh.
Theo Hồ Chí Minh, trong chủ nghĩa xã hội ở Việt Nam văn hóa có quan hệ thế nào với chính trị, kinh tế? | Biện chứng.
Theo Hồ Chí Minh, vai trò lãnh đạo của giai cấp công nhân Việt Nam trong sắp xếp lực lượng cách mạng không phải do yếu tố nào của lực lượng đó quyết định? | Số lượng.
Hồ Chí Minh đã đánh giá cao vị trí, vai trò của giai cấp này ở Việt Nam trong sắp xếp lực lượng cách mạng, Người đã khẳng định, gánh trách nhiệm đánh đổ chủ nghĩa tư bản và đế quốc, để gây dựng một xã hội mới ở Việt Nam là giai cấp nào? | Công nhân.
Theo Hồ Chí Minh, giai cấp công nhân Việt Nam giữ vai trò lãnh đạo cách mạng Việt Nam còn là vì họ có: | Chủ nghĩa Mác-Lênin.
Phong trào nào được Hồ Chí Minh coi là một yếu tố kết hợp dẫn đến việc hình thành Đảng Cộng sản Việt Nam vì nó có vị trí, vai trò cực kỳ to lớn trong quá tình phát triển của dân tộc Việt Nam? | Yêu nước.
Theo Hồ Chí Minh, phong trào nào đã trở thành giá trị văn hoá tốt đẹp nhất của dân tộc Việt Nam? | Yêu nước.
Phong trào công nhân kết hợp được với phong trào yêu nước vì có mục tiêu chung là: | Giải phóng dân tộc.
Cơ sở của vấn đề kết hợp ngay từ đầu phong trào yêu nước và công nhân là do xã hội nước ta: | Tồn tại hai mâu thuẫn cơ bản.
Phong trào nông dân kết hợp được với phong trào công nhân vì giai cấp nông dân và giai cấp công nhân là bạn: | Đồng minh tự nhiên.
Theo Hồ Chí Minh, trong cách mạng, lực lượng công nhân và nhân dân lao động là rất to lớn, vô cùng vô tận. Nhưng lực lượng ấy cần có Đảng lãnh đạo: | Mới chắc chắn thắng lợi
Theo Hồ Chí Minh, trong cách mạng vô sản, giai cấp mà không có Đảng lãnh đạo thì: | Không làm cách mạng được.
Sự ra đời, tồn tại và phát triển của Đảng Cộng sản Việt Nam phù hợp với quy luật phát triển của xã hội, vì Đảng: | Không có mục đích tự thân.
Hồ Chí Minh đã kết luận, Đảng Cộng sản Việt Nam là Đảng của giai cấp công nhân, đồng thời là Đảng của: | Dân tộc Việt Nam.
Năm 1957, Hồ Chí Minh đã khẳng định, Đảng là đội tiên phong của giai cấp công nhân, đồng thời cũng là đội tiên phong của: | Dân tộc.
Quan điểm nhất quán của Hồ Chí Minh về bản chất giai cấp của Đảng là Đảng ta mang bản chất: | Giai cấp công nhân.
Hồ Chí Minh khẳng định bản chất giai cấp của Đảng ta dựa trên cơ sở thấy rõ: | Sứ mệnh lịch sử của giai cấp.
Nội dung quy định bản chất giai cấp của Đảng không phải chỉ là ở số lượng đảng viên xuất thân mà là ở: | Nền tảng lý luận, tư tưởng.
Theo Hồ Chí Minh bộ phận nào là gốc của cách mạng ? | Công, nông.
Theo Hồ Chí Minh, dân phải được thế nào thì mới trở thành lực lượng to lớn? | Tổ chức, được lãnh đạo.
Theo Hồ Chí Minh, trong điều kiện đã giành được chính quyền, Đảng cầm quyền là Đảng có tác động thế nào với bộ máy nhà nước? | Tiếp tục, trực tiếp lãnh đạo.
Theo Hồ Chí Minh, phong trào yêu nước của trí thức Việt Nam là nhân tố quan trọng thúc đẩy sự kết hợp các yếu tố cho sự ra đời của Đảng Cộng sản Việt Nam vì trí thức là yếu tố nào (?) cho các phong trào yêu nước, thúc đẩy sự canh tân và chấn hưng đất nước? | Những ngòi nổ.
Trong Đường cách mệnh xuất bản 1927 Hồ Chí Minh khẳng định cách mệnh trước hết phải có Đảng cách mệnh. Sở dĩ như vậy vì có Đảng mới đảm bảo cho: | Quần chúng khỏi lạc phương hướng.
Trong Đường cách mệnh, Hồ Chí Minh khẳng định cách mệnh trước hết phải có Đảng cách mệnh. Sở dĩ như vậy vì có Đảng để tổ chức và: | Giáo dục nhân dân thành một đội quân thật mạnh.
Trong tư tưởng Hồ Chí Minh, cách mệnh trước hết phải có Đảng cách mệnh. Cách mạng thắng lợi rồi thì sao? | Quần chúng vẫn cần có Đảng lãnh đạo.
Cách mạng muốn thành công đến nơi, phải xây dựng được khối đại đoàn kết dân tộc, nên trong tư tưởng Hồ Chí Minh, đại đoàn kết dân tộc có ý nghĩa: | Cơ bản, xuyên suốt.
Theo Hồ Chí Minh, phải luôn luôn nhận thức là vấn đề sống còn, quyết định thành bại của cách mạng là vấn đề: | Đại đoàn kết dân tộc.
Trong lời kết thúc buổi ra mắt của Đảng Lao động Việt Nam ngày 3-3-1951, Hồ Chí Minh nói, mục đích của Đảng có thể gồm trong 8 chữ là: | Đoàn kết toàn dân, phụng sự tổ quốc.
Trong tư tưởng Hồ Chí Minh, nội dung đại đoàn kết dân tộc là: | Đại đoàn kết toàn dân.
Trong đoàn kết, theo Hồ Chí Minh, ta còn phải đoàn kết để xây dựng nước nhà. Ta phải đoàn kết với ai có tài: | Có đức, có sức, có lòng phụng sự Tổ quốc.
Trong đoàn kết, theo Hồ Chí Minh, lực lượng nào có lòng trung thành và sẵn sàng phục vụ Tổ quốc, không là việt gian, không phản bội lại quyền lợi của dân chúng là ta đoàn kết: | Không được phép bỏ sót một lực lượng nào.
Trong điều kiện thực hiện đại đoàn kết, theo Hồ Chí Minh, phải kế thừa truyền thống yêu nước - nhân nghĩa - đoàn kết của dân tộc; đồng thời, phải có tấm lòng: | Khoan dung, độ lượng.
Trong điều kiện thực hiện đại đoàn kết, theo Hồ Chí Minh, vì lợi ích của cách mạng cần phải có lòng khoan dung độ lượng, phải trân trọng: | Phần thiện dù nhỏ nhất.
Theo Hồ Chí Minh, sông to, biển rộng thì bao nhiêu nước cũng chứa được, vì độ lượng nó rộng và sâu. Cái chén nhỏ, cái đĩa cạn, thì một chút nước đầy tràn vì: | Độ lượng nó còn hẹp nhỏ.
Hồ Chí Minh nói rằng, đã là con Lạc cháu Hồng thì ai cũng có ít hay nhiều lòng ái quốc. Đối với những đồng bào lạc lối lầm đường, ta phải: | Dùng tình nhân ái mà cảm hoá họ.
Lòng khoan dung độ lượng ở Hồ Chí Minh không phải là một sách lược, một thủ đoạn chính trị mà là sự nối tiếp và phát triển: | Truyền thống nhân ái, bao dung.
Theo Hồ Chí Minh, đại đoàn kết trước hết, phải đoàn kết đại đa số nhân dân là công nhân, nông dân và các tầng lớp nhân dân lao động khác. Đó là: | Nền gốc của đại đoàn kết.
Hồ Chí Minh đưa nhân dân vào các tổ chức yêu nước phù hợp như hội ái hữu, công hội, nông hội, đoàn thanh niên, hội phụ nữ, v.v. Trong đó bao trùm là: | Mặt trận dân tộc thống nhất.
Trong nguyên tắc, mặt trận dân tộc thống nhất phải được xây dựng trên nền tảng khối liên minh công - nông - tri thức do: | Đảng lãnh đạo.
Trong chiến lược đại đoàn kết của Hồ Chí Minh, khối liên minh công - nông - trí thức, do Đảng Cộng sản lãnh đạo là: | Nguyên tắc cốt lõi.
Trong tư tưởng Hồ Chí Minh là nền tảng của Mặt trận dân tộc thống nhất là: | Liên minh công-nông.
Theo Hồ Chí Minh, lấy bộ phận nào là nền tảng trong mặt trận (?) vì họ là người trực tiếp sản xuất tất cả mọi tài phú làm cho xã hội sống, chí khí cách mạng của họ chắc chắn, bền bỉ hơn của mọi tầng lớp khác? | Liên minh công-nông.
Trong tư tưởng Hồ Chí Minh, thực hiện đoàn kết quốc tế, nhằm góp phần cùng nhân dân thế giới thực hiện thắng lợi: | Các mục tiêu cách mạng.
Trong tư tưởng Hồ Chí Minh, những lực lượng để đoàn kết quốc tế rất phong phú, tuy vậy, tập trung chủ yếu vào ba lực lượng. Một trong ba lực lượng đó là: | Phong trào cộng sản và công nhân quốc tế.
Trong tư tưởng Hồ Chí Minh, lực lượng để đoàn kết quốc tế rất là nhiều, tuy thế, tập trung chủ yếu vào ba lực lượng, một trong ba lực lượng đó là: | Phong trào hòa bình, dân chủ thế giới.
Trong tư tưởng Hồ Chí Minh, lực lượng đoàn để kết quốc tế khá nhiều, tuy vậy, tập trung chủ yếu vào: | Phong trào đấu tranh giải phóng dân tộc.
Theo Hồ Chí Minh, nước ta là nước dân chủ, địa vị cao nhất là: | Nhân dân.
Trong tư tưởng Hồ Chí Minh, dân chủ được biểu hiện tập trung trong hoạt động: | Của Nhà nước.
Theo Hồ Chí Minh, nhân dân làm ông chủ nắm chính quyền. Nhân dân bầu ra đại biểu thay mặt mình thi hành chính quyền ấy: | Thế là dân chủ.
Hồ Chí Minh khẳng định chế độ dân chủ ở nước ta là bao nhiêu lợi ích đều vì dân, quyền hành và lực lượng: | Đều ở nơi dân.
Theo Hồ Chí Minh, dân chủ có ý nghĩa là một giá trị chung, là sản phẩm của: | Văn minh nhân loại.
Trong quan hệ quốc tế, trong mọi tổ chức quốc tế, dân chủ, bình đẳng là: | Nguyên tắc ứng xử.
Theo Hồ Chí Minh, cán bộ là cái gốc của mọi công việc, muôn việc thành công hay thất bại đều do: | Con người tốt hay xấu
Cán bộ, công chức xa dân, quan liêu, hách dịch, cửa quyền... đối với nhân dân đều dẫn đến nguy cơ làm suy yếu Nhà nước, vì đã vi phạm một điều có tính chất cốt tử của cấu tạo quyền lực nhà nước là tất cả mọi quyền lực: | Thuộc về nhân dân.
Quan điểm của Hồ Chí Minhi là: Tham ô, lãng phí và bệnh quan liêu dù cố ý hay không, cũng là bạn đồng minh của: | Thực dân và phong kiến.
Quan điểm cơ bản nhất của Hồ Chí Minh về xây dựng Nhà nước Việt nam Dân chủ Cộng hoà là, Nhà nước do: | Nhân dân lao động làm chủ.
